text,Number of Hashtags,Hashtags,Length of tweet,isRetweet
"School children paid a visit to PS Civil Lines. The curiosity peaks at the lock up  (where the 'bad' guys land up?) 
#DelhiPoliceWeek 
@DelhiPolice https://t.co/SDR43Lgwfk",0,[],171,True
"#NationalPoliceMemorial
#WallOfValour
#DelhiPoliceWeek
@DelhiPolice https://t.co/kn64EmhV06",3,"['NationalPoliceMemorial', 'WallOfValour', 'DelhiPoliceWeek']",91,True
"Road safety awareness drive undertaken for school children during #DelhiPoliceWeek 
@DelhiPolice https://t.co/kcSCBgZx4R",1,['DelhiPoliceWeek'],120,True
"A drawing competition was organized for the school students by PS Timarpur. #DelhiPoliceWeek 
@DelhiPolice https://t.co/2iSbzLtppf",1,['DelhiPoliceWeek'],130,True
"Promotion &amp; awareness about “Tatpar App” and various initiatives of Delhi Police during Annual Fest “Anugunj-2020” in Guru Gobind Singh I P University, Delhi.
#DelhiPoliceWeek
 @CPDelhi
@DelhiPolice
@LtGovDelhi https://t.co/fi2W1zufAl",0,[],238,True
"Students visited National Police Memorial as a part of #DelhiPoliceWeek  celebrations.
@DelhiPolice https://t.co/FdEpgnTNJC",1,['DelhiPoliceWeek'],123,True
"#OurInitiativeToKeepThePoliceFit
Free health check-up camp for Police Personnel orgnized by South West District on 18.02.20 during #DelhiPoliceWeek
@CPDelhi 
@DelhiPolice 
@LtGovDelhi https://t.co/4Dpc3ZVz7h",1,['OurInitiativeToKeepThePoliceFit'],207,True
@Aditya16350085 You are requested to contact Delhi Police Control Room at 112 or approach the nearest Police Station for necessary action.,0,[],138,False
@AneesKh52742314 Please lodge a complaint on Delhi Police Website 'https://t.co/X0oJwcRzAy' or lodge the same at your local Police Station for necessary action.,0,[],160,False
@TheDineshSpeaks Please lodge a complaint on ‘https://t.co/RWOng1LTze’ for necessary action.,0,[],92,False
@AKSharm61676801 You are requested to contact Delhi Police Control Room at 112 for Police assistance in this regard.,0,[],116,False
@Rajnishverma21 @TRAI Please lodge a complaint on ‘https://t.co/RWOng1LTze’ for necessary action.,0,[],97,False
"Congratulations Anil, the officer selected as best all round probationer Phillaur Police Academy and thereafter has done meticulous work in various capacities in Delhi and A&amp; N Police. A well deserved recognition to your dedication to work. @DelhiPolice @CPDelhi https://t.co/9BHDw0GXS1",0,[],290,True
"Meeting with Senior Citizens organized in different Police Stations of Dwarka District during #DelhiPoliceWeek 
@CPDelhi
@DelhiPolice
@LtGovDelhi https://t.co/gbV6yKo9p8",1,['DelhiPoliceWeek'],169,True
"Tenant verification camps organised in different areas of Dwarka district during #DelhiPoliceWeek 
@CPDelhi
@DelhiPolice
@LtGovDelhi https://t.co/8mRccXFo0z",1,['DelhiPoliceWeek'],156,True
"Visit of school children to the Police Stations of Dwarka District during #DelhiPoliceWeek 
@CPDelhi
@DelhiPolice
@LtGovDelhi https://t.co/h3cKPXqegp",1,['DelhiPoliceWeek'],149,True
@DMRC11613 Please report the matter at your local Police Station for necessary action. Dial 112 for Police assistance in emergency.,0,[],131,False
@aggarwaldrvk Matter is being forwarded to @dtptraffic for necessary action.,0,[],76,False
"A team of PS Bhalswa Dairy, has apprehended one Rupak @ Lalla r/o vill Mukundpur, Delhi, age-20 yr, with of a country made pistol along with 02 live cartridges. He is having 2 previous Involvements #OuterNorthDistrict @DelhiPolice @CPDelhi",0,[],239,True
@shooterdeepakk Please lodge a complaint on Delhi Police Website 'https://t.co/X0oJwcRzAy' or lodge the same at your local Police Station for necessary action.,0,[],159,False
"Free health check-up camp for Senior Citizens &amp; Police Personnel organized in different Police Stations of Dwarka District during #DelhiPoliceWeek.
@CPDelhi 
@DelhiPolice 
@LtGovDelhi https://t.co/H9JHeDfXUQ",0,[],211,True
@MK03937725 Please contact the designated Investigating Officer in this regard.,0,[],79,False
"A number of programs and nukkad nataks are being held at various places in the district for spreading awareness on women safety and empowerment.
@CPDelhi @DCPNewDelhi #DelhiPolice 
#DelhiPoliceWeek @HMOIndia https://t.co/j2biGiPko2",0,[],231,True
"Saanjhi Sanjh Bandhan-A cultural program for senior citizens was organised in Barakhamba Road Police Station in association with Harikrit NGO.
@CPDelhi @LtGovDelhi @HMOIndia   #DelhiPolice #DelhiPoliceWeek https://t.co/DJyb4fGc1A",0,[],229,True
@PRABHAKARVardh8 Matter is being forwarded to @dtptraffic for necessary action.,0,[],79,False
"A walking cum jogging competition was organised amongst the morning walkers including senior citizens at Nehru park, Chankyapuri.ACP Chankyapuri Pragya Anand,SHO  Chankyapuri Ugesh Kumar and Police staff also held an interactive session with them.
#DelhiPoliceWeek
@CPDelhi https://t.co/Fca4dVAHN8",0,[],297,True
@SBakshi50383049 Please lodge a complaint on Delhi Police Website 'https://t.co/X0oJwcRzAy' or lodge the same at your local Police Station for necessary action.,0,[],160,False
@aakashdeepmann @LtGovDelhi Matter is being forwarded to @dtptraffic for necessary action.,0,[],90,False
@dtptraffic @Jassi20300174 You are requested to contact Delhi Police Control Room at 112 or report the matter at your local Police Station for necessary action.,0,[],160,False
https://t.co/CSYV5PvVjA,0,[],23,True
""" अभिमान मेरा है दिल्ली पुलिस ""
The Delhi Police Song
@DelhiPolice https://t.co/pkXXso0rJX",0,[],90,True
Awareness program against Child abuse through pantomime show organized in area of PS Narela as part of #DelhiPoliceWeek @DelhiPolice https://t.co/hEsbMKAiq3,1,['DelhiPoliceWeek'],156,True
"#SeniorCitizen Registeration camp organized during #DelhiPoliceWeek. Your smile is our Reward.

@DelhiPolice https://t.co/nRm1b41vCI",2,"['SeniorCitizen', 'DelhiPoliceWeek']",132,True
"One Rahul Godara @ Vicky, 25 yrs, wanted in 02 cases including one attempt to murder case of PS Dwarka Sector-23, arrested by the Anti-Snatching team of PS Dwarka Sec-23. Recovered one CMP &amp; one Scooty used in the commission of crime. 
@LtGovDelhi
@CPDelhi
@DelhiPolice https://t.co/WUs616fKsN",0,[],297,True
"#SchoolVisit by Police personnel during #DelhiPoliceWeek. Told about traffic rules and #112
#PoliceDost
@DelhiPolice https://t.co/hmzB88TJ5M",3,"['SchoolVisit', 'DelhiPoliceWeek', 'PoliceDost']",140,True
"A blind #robbery solved by the Spl. staff of Dwarka Distt. with the arrest of 02 desperate criminals namely Rahul @ Ranga @ Dada, 27 yrs &amp; Sagar, 23 yrs. Rahul is previously involved in 25 Crl. cases. Recovered a CMP, Knife &amp; a stolen motorcycle.
@LtGovDelhi
@CPDelhi
@DelhiPolice https://t.co/nJyHi2XgjP",1,['robbery'],312,True
Delhi Police Week: Drawing competition at PS Sarita Vihar and Visit to PS Jaitpur was organised for School children. @DelhiPolice @LtGovDelhi @CPDelhi https://t.co/JZzN3xe62c,0,[],174,True
Delhi Police Week: Legal awareness programme for the residents of JJ colony MPK was organized by the team of PS Kalindi Kunj.@DelhiPolice @CPDelhi https://t.co/l2k6zzvzcE,0,[],170,True
"Within the previous week, the deceased criminals had attempted killing police men who had intervened when they had opened fire on a person in PS Karawal Nagar area and had murdered a rival namely Salman in PS Loni area..

All mandatory legal proceedings are being complied with.. https://t.co/HTFh5GIDqd",0,[],303,True
